"id","auxiliar","descripcion","grupo_id/id","name","subgrupo_id/id"
"grp_factura_siif.presupuesto_objeto_gasto_1","000","Sueldo básico de cargos","grp_factura_siif.siif_grupo0","011","grp_factura_siif.siif_subgrupo0_1"
"grp_factura_siif.presupuesto_objeto_gasto_2","300","Sueldo del Grado","grp_factura_siif.siif_grupo0","011","grp_factura_siif.siif_subgrupo0_1"
"grp_factura_siif.presupuesto_objeto_gasto_3","301","Retribución por encuestas (INE)","grp_factura_siif.siif_grupo0","011","grp_factura_siif.siif_subgrupo0_1"
"grp_factura_siif.presupuesto_objeto_gasto_4","000","Incremento por mayor horario permanente","grp_factura_siif.siif_grupo0","012","grp_factura_siif.siif_subgrupo0_1"
"grp_factura_siif.presupuesto_objeto_gasto_5","000","Dedicación total","grp_factura_siif.siif_grupo0","013","grp_factura_siif.siif_subgrupo0_1"
"grp_factura_siif.presupuesto_objeto_gasto_6","000","Compensación máxima al grado","grp_factura_siif.siif_grupo0","014","grp_factura_siif.siif_subgrupo0_1"
"grp_factura_siif.presupuesto_objeto_gasto_7","000","Gastos de representación en el país con aportes","grp_factura_siif.siif_grupo0","015","grp_factura_siif.siif_subgrupo0_1"
"grp_factura_siif.presupuesto_objeto_gasto_8","000","Gastos de representación en el país 0%aportes","grp_factura_siif.siif_grupo0","016","grp_factura_siif.siif_subgrupo0_1"
"grp_factura_siif.presupuesto_objeto_gasto_9","000","Sueldo básico de funciones contratadas","grp_factura_siif.siif_grupo0","021","grp_factura_siif.siif_subgrupo0_2"
"grp_factura_siif.presupuesto_objeto_gasto_10","300","Sueldo del grado de funciones contratadas","grp_factura_siif.siif_grupo0","021","grp_factura_siif.siif_subgrupo0_2"
"grp_factura_siif.presupuesto_objeto_gasto_11","000","Incremento por mayor horario permanente","grp_factura_siif.siif_grupo0","022","grp_factura_siif.siif_subgrupo0_2"
"grp_factura_siif.presupuesto_objeto_gasto_12","000","Dedicacion total","grp_factura_siif.siif_grupo0","023","grp_factura_siif.siif_subgrupo0_2"
"grp_factura_siif.presupuesto_objeto_gasto_13","000","Compensación máxima al grado","grp_factura_siif.siif_grupo0","024","grp_factura_siif.siif_subgrupo0_2"
"grp_factura_siif.presupuesto_objeto_gasto_14","000","Retribuciones zafrales y temporales","grp_factura_siif.siif_grupo0","031","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_15","001","ASSE-Funcionarios  A.410 L.16170","grp_factura_siif.siif_grupo0","031","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_16","003","ASSE-Eventuales  A.410 L.16170","grp_factura_siif.siif_grupo0","031","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_17","004","Contrato Temporal de Derecho Público A.53 L.18719","grp_factura_siif.siif_grupo0","031","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_18","005","Contrato artistico A.52 L.18719","grp_factura_siif.siif_grupo0","031","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_19","006","Contrato Laboral A.54 L.18719","grp_factura_siif.siif_grupo0","031","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_20","007","Regimen Provisoriato A.50 L.18719","grp_factura_siif.siif_grupo0","031","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_21","008","Encuestadores Temporales del INE","grp_factura_siif.siif_grupo0","031","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_22","009","Contrato de Trabajo A92 L19121","grp_factura_siif.siif_grupo0","031","grp_factura_siif.siif_subgrupo0_3"
"grp_factura_siif.presupuesto_objeto_gasto_23","010","Funciones Contratadas Ministerio del Interior A96 L18996","grp_factura_siif.siif_grupo0","031","grp_factura_siif.siif_subgrupo0_3"
